Date,NIFTY CLOSE,NIFTY Volume,BANKNIFTY Close,BANKNIFTY Volume,HDFCBANK Close,HDFCBANK Volume,ICICIBANK Close,ICICIBANK Volume,KOTAKBANK Close,KOTAKBANK Volume,AXISBANK Close,AXISBANK Volume,SBIN Close,SBIN Volume,IDFC Close,IDFC Volume
2020-03-27,8660.25,801500,19969,539400,904.450012,27617968,339.850006,72889985,1399.099976,10223286,359.75,71042591,195.949997,114740377,22.4,47411153
2020-03-30,8281.099609,593300,18782.400391,327000,831.650024,19634222,313.399994,36559880,1293.699951,5570325,368.149994,61772544,186.899994,60081554,21,22687587
2020-03-31,8597.75,712700,19144,309800,861.900024,17605546,323.75,46279768,1296.050049,4476861,379,34637148,196.850006,59543412,21.1,21613556
2020-04-01,8253.799805,506300,18208.349609,274900,829.650024,14551752,311.149994,33141186,1181.650024,10838462,358.649994,27744593,186.550003,52954239,20.6,16262129
2020-04-03,8083.799805,697000,17249.300781,342500,813.849976,17498140,286.649994,57326314,1140.849976,10111471,325.450012,41317365,175.5,64448494,19.65,20511276
2020-04-07,8792.200195,814200,19062.5,435400,896.099976,30206319,326.100006,57661076,1198.050049,8552570,388.850006,48093237,186.399994,72130500,20.450001,24229979
2020-04-08,8748.75,896500,18946.449219,508400,888.900024,28109676,318.950012,73931321,1187.650024,7405087,391.350006,64930598,183,80435759,20.549999,28579301
2020-04-09,9111.900391,742100,19913.599609,390000,925.049988,22228573,342.700012,52431174,1272.900024,8097402,420.149994,44090546,187.75,62416005,22.049999,36905344
2020-04-13,8993.849609,644000,19488,288200,895.349976,17079028,330.649994,30994190,1250.900024,4250536,418.950012,33431643,183.5,51847146,22.200001,23720789
2020-04-15,8925.299805,879100,19057.050781,389900,863.299988,28989376,327.350006,49132329,1173.75,9045676,417.299988,48315019,182.350006,72190004,22.6,31375707
2020-04-16,8992.799805,719400,19400,350300,879.75,26927198,342,56494027,1130.849976,11055205,422.549988,42344330,188.5,61165773,24.15,29164320
2020-04-17,9266.75,684200,20681.449219,475000,910.299988,27941731,375.549988,69006835,1186.25,8585395,478.799988,47831797,193.25,89851063,26.4,42573127
2020-04-20,9261.849609,726400,20522.650391,438600,944.849976,33116493,361.299988,55810736,1177.75,6560180,455.950012,42163627,192.5,81958510,24.85,33178006
2020-04-21,8981.450195,655100,19409.349609,311900,921.650024,16589003,331.850006,50118175,1130.150024,4799796,420.649994,33572119,184.75,53042420,23.700001,19565270
2020-04-22,9187.299805,734400,19701.849609,349400,928.599976,19144677,335.950012,49115085,1152.150024,6963692,431.149994,36619611,188.699997,61503413,23.950001,23366864
2020-04-23,9313.900391,666700,20267.949219,325400,954.950012,20450611,352.950012,45953398,1249.650024,10558247,430.049988,29418000,186.699997,50955312,23.700001,21211789
2020-04-24,9154.400391,659400,19586.650391,305700,938.049988,16642284,334.850006,38513206,1239.550049,6784235,403.950012,35773252,179.75,65137305,22.200001,21877221
2020-04-27,9282.299805,512800,20081.150391,299900,929.700012,13710536,347.899994,38980019,1303.599976,7771412,427.299988,35986805,180.899994,42996571,22.1,24062496
2020-04-28,9380.900391,614500,20671.099609,367800,931.400024,14720718,359.850006,32933194,1326.650024,6678388,455.450012,43938246,184.300003,49590230,22.25,33115480
