Date,Open,High,Low,Close,Adj Close,Volume
2016-10-24,73.800003,75.400002,72.699997,75.000000,72.008545,6862511
2016-10-25,75.000000,81.800003,74.099998,81.199997,77.961258,31819592
2016-10-26,81.050003,85.949997,79.849998,82.000000,78.729347,32173604
2016-10-27,81.750000,82.300003,80.150002,81.550003,78.297295,10643052
2016-10-28,81.300003,83.300003,80.750000,81.949997,78.681335,6723102
2016-11-01,82.599998,83.199997,80.800003,81.900002,78.633331,11624949
2016-11-02,80.000000,80.750000,78.699997,79.449997,76.281059,5538960
2016-11-03,79.150002,80.300003,76.650002,76.849998,73.784752,10153031
2016-11-04,77.449997,78.400002,75.050003,76.599998,73.544731,6653592
2016-11-07,78.250000,78.300003,77.000000,77.250000,74.168808,7582760
2016-11-08,77.900002,78.150002,76.750000,77.099998,74.024780,12990195
2016-11-09,70.000000,76.800003,69.400002,76.199997,73.160690,19145196
2016-11-10,77.400002,82.000000,77.400002,80.300003,77.097160,26573364
2016-11-11,81.000000,83.099998,76.750000,77.300003,74.216812,24565702
2016-11-15,77.699997,78.500000,70.599998,73.800003,70.856415,16479006
2016-11-16,75.750000,76.250000,71.750000,72.349998,69.464249,12966546
2016-11-17,73.000000,74.250000,72.150002,73.050003,70.136330,11953021
2016-11-18,73.800003,74.000000,70.800003,71.099998,68.264107,11193629
2016-11-21,71.849998,71.849998,65.599998,66.949997,64.279633,17945593
2016-11-22,68.449997,69.900002,66.550003,69.650002,66.871941,13321421
2016-11-23,70.099998,70.699997,68.650002,69.599998,66.823936,7841378
2016-11-24,69.000000,69.150002,67.550003,67.900002,65.191750,10846663
2016-11-25,68.500000,71.449997,68.000000,70.650002,67.832054,9039700
2016-11-28,68.849998,70.500000,68.550003,69.949997,67.159973,8137813
2016-11-29,70.449997,71.000000,69.349998,69.550003,66.775925,5027929
2016-11-30,70.000000,71.300003,69.599998,70.800003,67.976082,8407205
2016-12-01,70.699997,71.099998,69.099998,69.349998,66.583908,4137485
2016-12-02,68.000000,69.199997,67.500000,68.199997,65.479767,7125822
2016-12-05,68.300003,68.800003,67.699997,68.199997,65.479767,4307805
2016-12-06,68.550003,70.000000,67.550003,69.849998,67.063965,10265103
2016-12-07,70.000000,72.449997,68.500000,69.199997,66.439888,22578274
2016-12-08,69.599998,70.599998,69.500000,70.300003,67.496017,4566615
2016-12-09,71.199997,71.650002,70.000000,71.199997,68.360115,6304513
2016-12-12,71.699997,71.750000,69.900002,70.550003,67.736038,5402939
2016-12-13,70.050003,71.449997,69.550003,70.949997,68.120094,4723635
2016-12-14,71.300003,71.300003,69.449997,69.650002,66.871941,5276252
2016-12-15,68.500000,70.699997,68.500000,69.449997,66.679916,5290219
2016-12-16,69.699997,69.949997,68.400002,68.599998,65.863823,3990349
2016-12-19,68.449997,68.449997,67.650002,68.000000,65.287750,3926934
2016-12-20,68.000000,68.449997,67.500000,67.800003,65.095734,4616338
2016-12-21,68.000000,68.400002,66.750000,67.000000,64.327637,3179052
2016-12-22,66.800003,66.949997,65.550003,65.800003,63.175503,2898256
2016-12-23,66.000000,66.449997,64.199997,65.000000,62.407413,7838087
2016-12-26,65.449997,65.500000,61.799999,62.400002,59.911118,5115520
2016-12-27,62.849998,64.849998,62.599998,64.300003,61.735332,5719244
2016-12-28,64.550003,66.099998,63.799999,65.300003,62.695446,5619455
2016-12-29,65.650002,66.849998,64.599998,66.250000,63.607555,12506202
2016-12-30,66.500000,67.650002,66.150002,66.849998,64.183624,2818522
2017-01-02,67.099998,67.550003,65.699997,66.050003,63.415527,6869503
2017-01-03,66.500000,66.800003,65.699997,66.150002,63.511539,3323564
2017-01-04,66.349998,66.900002,65.500000,65.750000,63.127499,3698802
2017-01-05,66.099998,68.000000,65.949997,67.500000,64.807693,10842222
2017-01-06,67.750000,68.500000,66.949997,67.199997,64.519661,4708592
2017-01-09,67.849998,68.500000,67.150002,68.349998,65.623779,2886785
2017-01-10,68.849998,70.000000,68.400002,69.900002,67.111969,6108650
2017-01-11,70.500000,73.699997,70.099998,72.550003,69.656273,16348712
2017-01-12,72.800003,73.750000,71.800003,72.349998,69.464249,6726583
2017-01-13,72.900002,73.449997,71.199997,72.550003,69.656273,6595497
2017-01-16,72.949997,75.150002,72.500000,74.699997,71.720512,8724396
2017-01-17,75.000000,76.099998,74.650002,75.550003,72.536621,9160548
2017-01-18,75.599998,77.000000,75.550003,76.800003,73.736763,8962794
2017-01-19,77.250000,78.000000,74.300003,77.099998,74.024780,28956770
2017-01-20,77.000000,79.699997,76.750000,78.050003,74.936897,22158057
2017-01-23,78.250000,79.099998,77.449997,78.000000,74.888901,9675460
2017-01-24,78.250000,80.000000,77.900002,78.550003,75.416954,10442500
2017-01-25,79.699997,79.699997,77.949997,78.800003,75.656990,12644279
2017-01-27,79.150002,79.800003,78.199997,78.599998,75.464966,8489960
2017-01-30,78.500000,78.750000,77.250000,77.449997,74.360817,4483892
2017-01-31,77.500000,77.599998,75.449997,76.050003,73.016678,5736347
2017-02-01,76.500000,80.000000,76.300003,79.349998,76.185043,12935817
2017-02-02,79.599998,84.500000,78.800003,83.900002,80.553574,19430128
2017-02-03,85.449997,85.900002,84.000000,84.550003,81.177635,14665583
2017-02-06,85.500000,85.500000,83.150002,84.000000,80.649574,9154207
2017-02-07,84.449997,84.449997,82.400002,83.050003,79.737480,5880732
2017-02-08,83.199997,84.000000,81.800003,83.400002,80.073509,8267416
2017-02-09,84.000000,85.599998,83.000000,83.900002,80.553574,17910784
2017-02-10,84.400002,84.900002,83.550003,84.449997,81.081627,13089790
2017-02-13,84.849998,85.000000,82.750000,83.949997,80.601563,5544027
2017-02-14,84.000000,84.000000,82.800003,83.150002,79.833481,3252373
2017-02-15,83.449997,83.550003,79.849998,81.050003,77.817245,6613357
2017-02-16,80.949997,83.400002,80.400002,82.599998,79.305420,5367104
2017-02-17,83.000000,85.099998,83.000000,83.400002,80.073509,12809121
2017-02-20,83.750000,86.500000,82.650002,85.949997,82.521790,20619578
2017-02-21,85.849998,87.250000,85.500000,86.099998,82.665817,12978855
2017-02-22,86.000000,86.250000,83.550003,84.300003,80.937614,7316238
