Date,Open,High,Low,Close,Adj Close,Volume
2016-10-24,635.875,638.424988,630.525024,631.775024,615.728394,1627832
2016-10-25,634,634,622.025024,625.150024,609.271667,2750898
2016-10-26,621.674988,632.5,617.525024,619.650024,603.911377,2683270
2016-10-27,619.5,628.5,612.075012,626.049988,610.148743,5811930
2016-10-28,627.25,630.950012,620.049988,629.525024,613.535583,2660268
2016-11-01,628,631.924988,623.525024,629.900024,613.901062,1701208
2016-11-02,625.549988,627.849976,620.75,623.075012,607.249329,3237216
2016-11-03,622.5,630,615.875,627.474976,611.537537,3157906
2016-11-04,626.400024,626.400024,620.875,621.849976,606.055359,2867460
2016-11-07,626,627.424988,620,624.724976,608.857361,2835696
2016-11-08,625.549988,629,620.049988,627.150024,611.220764,2674082
2016-11-09,600,628.700012,597.674988,625.625,609.734619,6822734
2016-11-10,631.875,641.5,627.049988,639.275024,623.037903,5350368
2016-11-11,637,641,632.799988,637.900024,621.697815,3569660
2016-11-15,638.75,644.5,625.325012,627.375,611.440125,6256262
2016-11-16,634,634,620.025024,622.174988,606.372192,4323872
2016-11-17,619.150024,624.450012,612.575012,615.099976,599.476929,2407812
2016-11-18,618,618,604.599976,605.700012,590.315674,3439950
2016-11-21,609.75,609.75,594.174988,599.349976,584.126953,2776260
2016-11-22,603.400024,603.400024,594.674988,599.025024,583.810242,5008892
2016-11-23,601.5,601.5,590.549988,592.375,577.329102,1766346
2016-11-24,592,593.150024,580.450012,582.75,567.948547,7642998
2016-11-25,584.5,596.599976,579,594.650024,579.546387,2984980
2016-11-28,590.125,599.450012,589.049988,592.224976,577.182861,2065090
2016-11-29,592.349976,596.474976,588.25,589.375,574.405334,1966322
2016-11-30,592.5,601,590.549988,599.799988,584.565491,3221420
2016-12-01,601.150024,603.950012,596.5,598.625,583.420349,2238492
2016-12-02,594.5,600.974976,588.349976,594.549988,579.448853,2031336
2016-12-05,593.799988,599.474976,588.25,598.174988,582.98175,2275968
2016-12-06,597.5,601.424988,595.099976,597.224976,582.055847,1351482
2016-12-07,600.924988,602.950012,583.5,590.799988,575.794128,2814096
2016-12-08,593.5,602.775024,593.5,599.75,584.516785,2154848
2016-12-09,599.549988,601.150024,594,599.150024,583.932068,2193976
2016-12-12,596,596.075012,590.549988,592.224976,577.182861,1712636
2016-12-13,590.125,595.174988,589.275024,593.125,578.060059,1263434
2016-12-14,593.5,594,586.700012,587.849976,572.919006,2157072
2016-12-15,582.099976,597.25,581.799988,588.299988,573.357605,2470744
2016-12-16,588.299988,592.5,585.775024,591.150024,576.135254,1627914
2016-12-19,588.400024,589.75,585.25,588.375,573.430664,1580218
2016-12-20,588,592.5,585.849976,590.950012,575.940308,2094996
2016-12-21,592,592.5,587.5,590,575.014404,1329438
2016-12-22,588.200012,589.75,584.200012,586.549988,571.652039,1402858
2016-12-23,585.5,594.625,584.650024,593.125,578.060059,2376258
2016-12-26,589.275024,593.049988,585.049988,587.5,572.577942,2091932
2016-12-27,589.650024,593.450012,586.950012,592.599976,577.54834,2449648
2016-12-28,594.950012,597.474976,590.5,593.375,578.303711,3253920
2016-12-29,592.5,603.974976,590.724976,602.599976,587.294312,4050408
2016-12-30,600,606,599.974976,603.099976,587.781616,2033270
2017-01-02,604.724976,605.049988,596.025024,598.549988,583.347229,1854328
2017-01-03,600.400024,600.974976,592.875,594.950012,579.838745,1923750
2017-01-04,594.924988,596,591.900024,592.75,577.69458,3483560
2017-01-05,594.5,597.25,591.549988,593.099976,578.035706,3388192
2017-01-06,595.049988,599.200012,594.099976,596.825012,581.666077,2762630
2017-01-09,599.424988,602.075012,596.075012,597.599976,582.421326,2286898
2017-01-10,598.099976,608.400024,597.650024,607.174988,591.753174,2773058
2017-01-11,608.75,619.049988,607.75,617,601.328674,4671702
2017-01-12,617.5,621.849976,612.75,617.5,601.815979,1458158
2017-01-13,619.5,619.849976,614.299988,616.25,600.597717,1925206
2017-01-16,616.75,624.724976,616.400024,623.825012,607.980286,1882932
2017-01-17,623.5,626.200012,618.125,619.25,603.521545,1779806
2017-01-18,620.450012,628,620.424988,621.299988,605.51947,2306444
2017-01-19,622.450012,622.450012,617.5,618.150024,602.449463,1756206
2017-01-20,618,622.5,615,618.174988,602.473755,6971034
2017-01-23,618,625,617.900024,622.325012,606.518372,2396924
2017-01-24,625,635.75,624.625,633.775024,617.677551,5130932
2017-01-25,636.299988,647.799988,635.049988,645.299988,628.909851,7818492
2017-01-27,649.5,650,644,645.950012,629.543396,3426118
2017-01-30,646.474976,646.474976,640.275024,642.474976,626.156677,2659814
2017-01-31,641.200012,646.349976,638.5,643.325012,626.984985,3050520
2017-02-01,643.099976,655,640.25,652.849976,636.268066,5455332
2017-02-02,652.849976,652.849976,646.299988,649.349976,632.856934,2985818
2017-02-03,649.5,658,648.25,655.525024,638.875122,4002552
2017-02-06,656.150024,660,655.724976,657.049988,640.361389,2155110
2017-02-07,658,659,651.474976,653.575012,636.97467,1705960
2017-02-08,653.775024,659.349976,649.075012,652.825012,636.243713,2470480
2017-02-09,654.700012,659.950012,646.275024,648.825012,632.345276,2232688
2017-02-10,649.174988,654.375,649,651.799988,635.24469,1648368
2017-02-13,653.775024,657.5,649.599976,655.099976,638.460876,1397896
2017-02-14,657,657,652,655.549988,638.899536,1223030
2017-02-15,656,662,653.724976,661.099976,644.308472,3063470
2017-02-16,661.5,666.5,660.125,663.950012,647.086121,2521850
2017-02-17,722.5,727,680.224976,688.525024,671.036926,201129980
2017-02-20,680.599976,707.724976,679.575012,704.549988,686.654907,5283358
2017-02-21,703.025024,710.900024,698.700012,707.775024,689.798035,3130014
2017-02-22,707.5,709.400024,697.424988,699.575012,681.806335,2648388
2017-02-23,701.900024,710.674988,693.525024,697.150024,679.442932,17247490
2017-02-27,695.450012,699.174988,689.299988,696.799988,679.101807,2340688
2017-02-28,696.450012,698.125,692.25,695.049988,677.39624,1464004
2017-03-01,698.224976,698.25,693.200012,695.825012,678.151611,1740868
2017-03-02,697.275024,698,688.125,690.049988,672.523193,2300994
2017-03-03,692.25,692.25,684.5,688.5,671.012573,1246412
2017-03-06,688.400024,694.950012,686.549988,690.375,672.840027,1839562
2017-03-07,691.125,693.75,688.099976,693.099976,675.495728,1556438
2017-03-08,693.950012,699.599976,690.525024,696.099976,678.419495,1891072
2017-03-09,690.825012,699.349976,690.825012,697.099976,679.394104,1754658
2017-03-10,697.5,704,696.575012,700.049988,682.269226,2930352
