DATE,HDFCBANK,ICICIBANK,SBI,KOTAKBANK,NIFTY,BANKNIFTY
2016-10-24,615.728,250.735,258.209,785.642,8708.95,20200.25
2016-11-24,567.949,228.486,257.031,740.49,7965.5,18392.949
2016-11-25,579.546,229.191,256.245,750.518,8114.3,18466.051
2016-11-28,577.183,224.961,248.979,748.523,8126.9,18341.5
2016-11-29,574.405,225.093,248.144,743.783,8142.15,18401.15
2016-11-30,584.565,233.993,253.692,753.811,8224.5,18312.801
2016-12-01,583.42,228.354,251.041,743.334,8192.9,18257.051
2016-12-02,579.449,228.662,249.519,721.98,8086.8,18069.4
2016-12-05,582.982,229.852,252.268,728.217,8128.75,18084.5
2016-12-06,582.056,229.984,254.429,732.408,8143.15,17891.449
2016-12-07,575.794,227.957,250.992,732.757,8102.05,17884.0
2016-12-09,583.932,236.548,261.843,743.633,8261.75,17879.551
2016-12-12,577.183,233.376,258.897,728.267,8170.8,17876.699
2016-12-13,578.06,232.98,261.352,729.364,8221.8,18033.15
2016-12-14,572.919,229.587,258.16,726.221,8182.45,18177.199
2016-12-16,576.135,225.225,259.977,717.54,8139.45,18035.6
2016-12-19,573.431,226.547,256.638,718.089,8104.35,17891.0
2016-12-20,575.94,221.701,249.961,716.792,8082.4,18115.949
2016-12-21,575.014,223.155,250.746,718.239,8061.3,18264.0
2016-12-22,571.652,222.89,245.296,711.603,7979.1,18286.65
2016-12-23,578.06,221.921,244.658,710.206,7985.75,18409.6
2016-12-26,572.578,218.661,239.797,709.508,7908.25,18830.0
2016-12-27,577.548,223.419,244.265,710.605,8032.85,18873.949
2016-12-28,578.304,221.833,243.283,711.503,8034.85,18912.1
2016-12-29,587.294,221.26,243.185,711.852,8103.6,19096.449
2016-12-30,587.782,224.961,245.689,718.139,8185.8,19067.051
2017-01-02,583.347,222.009,239.208,713.249,8179.5,19164.5
2017-01-03,579.839,224.168,240.485,710.206,8192.25,19124.25
2017-01-04,577.695,221.26,238.521,694.091,8190.5,18820.801
2017-01-05,578.036,226.679,240.927,697.434,8273.8,18842.699
2017-01-06,581.666,227.472,241.467,715.295,8243.8,19023.5
2017-01-09,582.421,227.957,242.596,707.711,8236.05,19473.199
2017-01-10,591.753,229.279,243.824,711.104,8288.6,19708.301
2017-01-11,601.329,233.244,247.604,726.82,8380.65,19585.25
2017-01-12,601.816,236.46,246.72,726.371,8407.2,19515.15
2017-01-13,600.598,236.196,246.377,726.171,8400.35,20020.6
2017-01-16,607.98,237.297,251.139,729.614,8412.8,20070.301
2017-01-17,603.522,236.504,251.385,724.425,8398.0,20196.801
2017-01-18,605.519,236.548,253.692,729.514,8417.0,20371.6
2017-01-19,602.449,237.65,253.741,726.62,8435.1,20327.25
2017-01-20,602.474,232.143,246.524,721.482,8349.35,20245.4
2017-01-23,606.518,226.944,249.568,731.16,8391.5,20151.15
2017-01-24,617.678,226.591,250.305,741.737,8475.8,20213.9
2017-01-25,628.91,229.058,254.527,793.475,8602.75,20251.801
2017-01-27,629.543,239.677,261.646,783.347,8641.25,20258.1
2017-01-30,626.157,238.619,259.191,773.918,8632.75,20163.699
2017-01-31,626.985,236.989,255.656,772.471,8561.3,20243.699
